Dia,"Nome do conjunto de anúncios","Status de veiculação","Nível de veiculação","Configuração de atribuição","Tipo de resultado",Resultados,Alcance,Frequência,"Custo por resultado","Valor gasto (BRL)","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões)","Cliques no link","Cliques na loja","CPC (custo por clique no link)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos)","Visualizações da página de destino","Custo por visualização da página de destino","Taxa de impressões para reproduções de vídeo por 3 segundos","Body Rate","Cliques para abrir a experiência instantânea","Cliques para iniciar a experiência instantânea","Cliques de saída da experiência instantânea",Leads,Contatos,"Novos contatos de mensagem","Conversas por mensagem iniciadas","Seguidores no Instagram","Início dos relatórios","Encerramento dos relatórios","Resultados (iniciais)"
2026-08-29,"LINS 17 KM | H-M | 18+",active,adset,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",3,2242,1.26895629,7.81,23.43,�,�,�,2845,8.23550088,25,0,0.9372,0.87873462,86,3.0228471,0.27244186,,,0.06713533,0.55913978,,,,,,2,3,0,2026-08-29,2026-08-29,
2026-08-28,"Natação | Lins 17 KM | 18 + | Homens e Mulheres",active,adset,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",3,1935,1.30439276,10.02333333,30.07,�,�,�,2524,11.91362916,24,0,1.25291667,0.95087163,38,1.50554675,0.79131579,,,0.12242472,0.3,,,,3,,2,2,0,2026-08-28,2026-08-28,
2026-08-28,"LINS 17 KM | H-M | 18+",active,adset,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,1349,1.3573017,15.18,15.18,�,�,�,1831,8.29055161,6,0,2.53,0.32768979,34,1.85690879,0.44647059,,,0,,,,,,,1,1,0,2026-08-28,2026-08-28,
2026-08-28,"Personal | Lins 17 KM | 18+ a 55 | Homens e Mulheres",active,adset,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",4,1593,1.18769617,9.6775,38.71,�,�,�,1892,20.45983087,31,0,1.24870968,1.6384778,43,2.27272727,0.90023256,,,0.23890063,0.21794872,,,,4,,2,2,0,2026-08-28,2026-08-28,
2026-08-28,"[LINS 17KM] [H-M]",active,adset,"Clique de 1 dia","Visitas ao perfil do Instagram",28,1081,1.02035153,0.26607143,7.45,�,�,�,1103,6.75430644,24,0,0.31041667,2.17588395,24,2.17588395,0.31041667,,,0.20852221,0.6031746,,,,,,,,1,2026-08-28,2026-08-28,
2026-08-27,"[LINS 17KM] [H-M]",active,adset,"Clique de 1 dia","Visitas ao perfil do Instagram",27,920,1.05434783,0.21888889,5.91,�,�,�,970,6.09278351,16,0,0.369375,1.64948454,15,1.54639175,0.394,,,0.22164948,0.66176471,,,,,,,,0,2026-08-27,2026-08-27,
2026-08-27,"Personal | Lins 17 KM | 18+ a 55 | Homens e Mulheres",active,adset,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",5,2342,1.3176772,8.776,43.88,�,�,�,3086,14.21905379,29,0,1.51310345,0.9397278,54,1.74983798,0.81259259,,,0.22618276,0.32113821,,,,5,,3,3,0,2026-08-27,2026-08-27,
2026-08-27,"Natação | Lins 17 KM | 18 + | Homens e Mulheres",active,adset,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",1,2937,1.24991488,31.82,31.82,�,�,�,3671,8.66793789,23,0,1.38347826,0.62653228,30,0.81721602,1.06066667,,,0.09915554,0.29655172,,,,1,,2,3,0,2026-08-27,2026-08-27,
2026-08-27,"LINS 17 KM | H-M | 18+",active,adset,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",3,1895,1.21108179,7.01666667,21.05,�,�,�,2295,9.17211329,8,0,2.63125,0.34858388,36,1.56862745,0.58472222,,,0,,,,,,,1,3,1,2026-08-27,2026-08-27,
2026-08-26,"[LINS 17KM] [H-M]",active,adset,"Clique de 1 dia","Visitas ao perfil do Instagram",25,1083,1.08679594,0.2752,6.88,�,�,�,1177,5.84536958,24,0,0.28666667,2.03908241,24,2.03908241,0.28666667,,,0.21410365,0.63218391,,,,,,,,0,2026-08-26,2026-08-26,
