"Nome da campanha",Dia,"Status de veiculação","Nível de veiculação","Configuração de atribuição","Tipo de resultado",Resultados,Alcance,Frequência,"Custo por resultado","Valor gasto (BRL)","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões)","Cliques no link","Cliques na loja","CPC (custo por clique no link)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos)","Visualizações da página de destino","Custo por visualização da página de destino","Taxa de impressões para reproduções de vídeo por 3 segundos","Body Rate","Cliques para abrir a experiência instantânea","Cliques para iniciar a experiência instantânea","Cliques de saída da experiência instantânea",Leads,Contatos,"Novos contatos de mensagem","Conversas por mensagem iniciadas","Seguidores no Instagram","Início dos relatórios","Encerramento dos relatórios","Resultados (iniciais)"
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-27,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",6,5054,1.33696082,12.61666667,75.7,�,�,�,6757,11.20319668,52,0,1.45576923,0.7695723,84,1.24315525,0.90119048,,,0.15717034,0.31202046,,,,6,,5,6,0,2026-08-27,2026-08-27,
"GM | ENGAJAMENTO | WHATSAPP | CONTRATAÇÃO",2026-08-26,active,campaign,"Clique de 7 dias ou visualização de 1 dia",,,1426,1.13253857,,11.85,�,�,�,1615,7.3374613,1,0,11.85,0.0619195,16,0.99071207,0.740625,,,0.14736842,0.33757962,,,,,,,,0,2026-08-26,2026-08-26,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-26,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",6,2136,1.30992509,4.57666667,27.46,�,�,�,2798,9.81415297,20,0,1.373,0.71479628,61,2.18012866,0.45016393,,,0,,,,,,,4,6,0,2026-08-26,2026-08-26,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-26,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",25,1083,1.08679594,0.2752,6.88,�,�,�,1177,5.84536958,24,0,0.28666667,2.03908241,24,2.03908241,0.28666667,,,0.21410365,0.63218391,,,,,,,,0,2026-08-26,2026-08-26,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-26,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",6,3935,1.31994917,10.595,63.57,�,�,�,5194,12.23912206,54,0,1.17722222,1.03966115,93,1.79052753,0.68354839,,,0.16326531,0.26687117,,,,6,,3,4,6,2026-08-26,2026-08-26,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-25,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",10,4273,1.39620875,7.498,74.98,�,�,�,5966,12.56788468,57,0,1.3154386,0.95541401,106,1.77673483,0.70735849,,,0.17968488,0.28148148,,,,10,,6,7,1,2026-08-25,2026-08-25,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-25,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",24,1232,1.03246753,0.325,7.8,�,�,�,1272,6.13207547,23,0,0.33913043,1.8081761,23,1.8081761,0.33913043,,,0.20754717,0.64102564,,,,,,,,1,2026-08-25,2026-08-25,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-25,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",7,2877,1.27146333,4.60857143,32.26,�,�,�,3658,8.81902679,27,0,1.19481481,0.73810826,99,2.70639694,0.32585859,,,0.01284855,0.43478261,,,,,,6,7,0,2026-08-25,2026-08-25,
"GM | ENGAJAMENTO | WHATSAPP | CONTRATAÇÃO",2026-08-25,active,campaign,"Clique de 7 dias ou visualização de 1 dia",,,1380,1.14855072,,12.33,�,�,�,1585,7.77917981,3,0,4.11,0.18927445,18,1.13564669,0.685,,,0.13753943,0.38410596,,,,,,,,0,2026-08-25,2026-08-25,
"GM | ENGAJAMENTO | WHATSAPP | CONTRATAÇÃO",2026-08-24,active,campaign,"Clique de 7 dias ou visualização de 1 dia",,,1436,1.12952646,,11.2,�,�,�,1622,6.90505549,6,0,1.86666667,0.36991369,30,1.84956843,0.37333333,1,11.2,0.15228113,0.39102564,,,,,,,,0,2026-08-24,2026-08-24,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-24,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",5,3514,1.17899829,7.948,39.74,�,�,�,4143,9.59208303,22,0,1.80636364,0.53101617,94,2.26888728,0.42276596,,,0.00241371,,,,,,,3,5,0,2026-08-24,2026-08-24,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-24,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",22,1209,1.06782465,0.27909091,6.14,�,�,�,1291,4.7560031,19,0,0.32315789,1.47172734,18,1.39426801,0.34111111,,,0.19519752,0.51428571,,,,,,,,0,2026-08-24,2026-08-24,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-24,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",5,4093,1.36354752,14.018,70.09,�,�,�,5581,12.55868124,55,0,1.27436364,0.98548647,82,1.46927074,0.8547561,,,0.16609927,0.29775281,,,,5,,2,3,3,2026-08-24,2026-08-24,
"GM | ENGAJAMENTO | WHATSAPP | CONTRATAÇÃO",2026-08-23,active,campaign,"Clique de 7 dias ou visualização de 1 dia",,,1001,1.15084915,,8.09,�,�,�,1152,7.02256944,6,0,1.34833333,0.52083333,17,1.47569444,0.47588235,,,0.14149306,0.50961538,,,,,,,,0,2026-08-23,2026-08-23,
